Year,Month,Day,Temp high (°C),Temp avg (°C),Temp low (°C),Dew Point high (°C),Dew Point avg (°C),Dew Point low (°C),Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press. (hPa) high,Sea Level Press. (hPa) avg,Sea Level Press. (hPa) low,Visibility (km) high,Visibility (km) avg,Visibility (km) low,Wind (km/h) low,Wind (km/h) avg,Wind (km/h) high,Precip. (mm) sum,WeatherEvent
2009,Sep,5,29,25,21,16,15,13,73,58,43,1022,1020,1018,16,16,16,14,6,24,0,
2009,Sep,6,24,21,17,14,12,9,73,61,49,1028,1026,1023,16,16,16,27,14,42,0,
2009,Sep,7,23,19,16,16,13,12,84,71,57,1027,1025,1021,16,16,16,21,7,26,0,
2009,Sep,8,23,20,17,17,16,14,90,76,61,1021,1019,1017,16,16,16,16,3,24,0,
2009,Sep,9,24,21,17,16,14,8,81,65,48,1026,1021,1017,16,16,16,35,13,45,0,
2009,Sep,10,20,18,16,12,11,8,78,63,48,1030,1028,1026,16,16,16,40,20,58,T,
2009,Sep,11,19,16,13,18,15,11,100,89,78,1026,1019,1016,16,7,1,45,22,61,21.34,"Fog , Rain"
2009,Sep,12,19,18,17,18,17,17,100,94,87,1016,1014,1013,16,11,4,23,8,27,0.76,Rain
2009,Sep,13,26,22,18,18,16,12,93,68,42,1013,1012,1010,16,16,16,19,7,24,0,
2009,Sep,14,24,21,16,15,14,12,90,68,46,1015,1013,1011,16,16,16,19,8,27,0,
2009,Sep,15,26,22,17,16,15,13,84,69,54,1016,1013,1012,16,16,16,16,7,26,0,
2009,Sep,16,21,19,17,16,13,12,87,72,57,1025,1022,1016,16,16,16,32,16,40,0,
2009,Sep,17,17,15,13,13,11,8,86,73,60,1027,1024,1021,16,16,16,26,9,34,0.25,Rain
2009,Sep,18,23,18,13,13,12,10,86,68,49,1020,1018,1014,16,16,11,21,9,29,0,
2009,Sep,19,21,17,12,10,6,3,64,48,31,1026,1023,1019,16,16,16,16,6,26,0,
2009,Sep,20,23,18,12,11,9,7,86,61,35,1028,1026,1025,16,16,16,14,6,23,0,
2009,Sep,21,24,19,14,16,13,10,87,66,44,1027,1025,1003,16,16,16,16,7,24,0,
2009,Sep,22,23,21,18,17,16,15,93,80,66,1027,1025,1023,16,16,16,16,5,24,0,
2009,Sep,23,27,24,21,21,19,17,90,79,67,1023,1020,1016,16,16,16,19,9,27,0,
2009,Sep,24,28,23,19,21,17,11,100,75,49,1018,1016,1015,16,14,6,19,8,29,0.76,Rain
2009,Sep,25,21,17,13,10,7,4,69,53,37,1028,1023,1018,16,16,16,29,12,42,0,
2009,Sep,26,19,16,12,14,8,5,100,73,45,1028,1023,1017,16,15,8,21,10,27,3.56,Rain
2009,Sep,27,20,18,15,19,17,14,100,95,90,1018,1007,999,16,6,2,23,8,34,26.16,Rain
2009,Sep,28,22,18,14,17,14,12,93,80,66,1004,1000,997,16,14,3,27,10,42,4.57,Rain
2009,Sep,29,19,16,12,11,8,7,75,62,48,1006,1002,1001,16,16,16,29,12,45,0,
2009,Sep,30,16,13,9,10,7,4,83,69,55,1015,1010,1006,16,16,16,26,13,39,0,
2009,Oct,1,13,11,8,6,5,4,77,68,59,1017,1016,1015,16,16,16,19,8,26,0,
2009,Oct,2,18,13,8,16,9,5,93,72,51,1018,1016,1013,16,16,10,23,8,35,1.52,Rain
2009,Oct,3,21,19,17,19,18,16,100,92,84,1014,1012,1010,16,6,1,16,5,21,7.37,"Fog , Rain"
2009,Oct,4,23,19,14,18,14,7,100,71,41,1013,1012,1010,16,9,2,21,7,29,0,
2009,Oct,5,19,16,12,8,7,5,77,60,43,1015,1014,1012,16,16,16,23,12,34,0,
2009,Oct,6,19,14,10,11,7,5,80,61,42,1017,1013,1008,16,16,16,19,7,26,0,
2009,Oct,7,21,17,14,17,11,3,93,65,37,1010,1003,998,16,13,3,47,18,71,4.06,Rain
2009,Oct,8,17,14,11,7,4,3,62,53,43,1019,1016,1011,16,16,16,23,9,37,0,
2009,Oct,9,21,18,15,15,12,7,84,71,57,1017,1011,1005,16,16,16,21,7,29,0.76,Rain
2009,Oct,10,19,14,10,16,12,3,100,73,46,1021,1010,1003,16,13,6,29,8,45,T,Rain
2009,Oct,11,18,13,8,5,3,1,77,57,36,1026,1022,1021,16,16,16,23,9,29,0,
2009,Oct,12,12,9,6,3,0,-2,66,54,41,1030,1027,1023,16,16,16,19,4,27,0,
2009,Oct,13,18,13,8,9,6,1,77,60,43,1022,1018,1014,16,16,16,27,10,48,0,
2009,Oct,14,12,8,5,2,1,-2,79,60,41,1025,1023,1021,16,16,16,21,5,26,0,
2009,Oct,15,8,6,3,4,2,-2,100,77,53,1021,1017,1011,16,13,5,34,19,47,14.99,Rain
2009,Oct,16,8,6,3,3,2,1,92,79,65,1017,1014,1011,16,15,11,29,15,39,1.27,Rain
2009,Oct,17,9,7,6,3,1,0,70,63,56,1019,1017,1016,16,16,16,27,15,40,0.76,Rain
2009,Oct,18,7,6,5,6,3,1,96,83,70,1020,1018,1016,16,16,8,27,14,45,7.37,Rain
2009,Oct,19,13,8,3,1,-1,-3,76,54,32,1022,1021,1019,16,16,16,19,6,27,0,
2009,Oct,20,18,13,7,7,3,0,65,52,39,1022,1020,1019,16,16,16,14,6,23,0,
2009,Oct,21,20,16,11,9,8,7,83,66,48,1023,1021,1019,16,16,14,11,2,14,0,
2009,Oct,22,23,18,12,10,8,5,83,59,35,1019,1015,1011,16,16,13,21,10,27,0,
2009,Oct,23,18,14,9,11,7,4,100,72,44,1023,1020,1014,16,15,8,27,14,39,4.83,Rain
2009,Oct,24,18,15,12,18,16,11,100,95,90,1016,1008,1004,16,5,1,23,11,34,45.97,Rain
2009,Oct,25,17,14,11,13,4,2,84,62,39,1023,1016,1007,16,16,16,23,10,34,0,
2009,Oct,26,16,12,8,6,4,1,77,59,40,1028,1026,1023,16,16,16,24,7,34,0,
2009,Oct,27,13,12,10,12,11,6,100,86,71,1024,1020,1016,16,8,3,24,11,35,15.75,Rain
2009,Oct,28,14,12,11,13,11,9,100,92,83,1017,1013,1008,16,8,2,27,14,37,32.77,Rain
2009,Oct,29,14,12,9,8,7,6,86,74,62,1027,1024,1019,16,16,16,23,9,35,0,
2009,Oct,30,15,13,11,11,8,7,86,74,62,1027,1025,1020,16,16,16,16,9,29,0,
2009,Oct,31,22,17,13,18,15,10,100,86,72,1019,1012,1008,16,11,2,29,11,45,4.32,Rain
2009,Nov,1,14,12,9,10,4,2,77,62,47,1023,1019,1012,16,16,16,23,9,29,0.25,
2009,Nov,2,13,11,8,6,3,1,71,61,50,1024,1022,1020,16,16,16,32,13,40,T,
2009,Nov,3,16,11,6,6,3,-3,83,61,39,1023,1018,1015,16,16,16,26,7,39,0,
2009,Nov,4,11,8,5,1,-1,-3,70,55,39,1027,1025,1024,16,16,16,21,8,29,0,
2009,Nov,5,12,9,6,3,1,-2,76,60,44,1024,1019,1016,16,16,13,26,7,37,T,Rain
2009,Nov,6,10,7,3,-2,-3,-4,64,55,45,1027,1023,1017,16,16,16,27,11,42,0,
2009,Nov,7,12,7,2,4,-1,-4,70,54,38,1027,1024,1021,16,16,16,21,8,32,0,
2009,Nov,8,21,14,8,8,6,4,77,58,39,1029,1024,1021,16,16,14,21,4,29,0,
2009,Nov,9,19,14,9,10,9,8,93,73,52,1030,1028,1025,16,13,6,21,7,29,0,
2009,Nov,10,18,16,13,9,8,4,72,60,47,1025,1024,1023,16,14,10,19,7,27,0,
2009,Nov,11,14,12,9,4,1,-1,59,50,41,1028,1027,1025,16,16,16,34,18,47,0,
2009,Nov,12,10,9,7,2,0,-2,65,56,46,1026,1022,1017,16,16,14,37,23,52,1.78,Rain
2009,Nov,13,13,11,9,11,7,3,96,79,61,1018,1015,1013,16,15,6,42,25,63,1.02,Rain
2009,Nov,14,14,13,11,13,12,10,100,97,93,1014,1012,1011,16,6,1,27,11,37,12.45,Rain
2009,Nov,15,19,16,12,13,12,11,100,84,68,1014,1012,1011,16,14,2,14,5,21,0.51,Rain
2009,Nov,16,15,12,9,11,4,-2,83,62,41,1021,1017,1014,16,16,16,23,8,32,0,
2009,Nov,17,13,11,8,2,-2,-4,65,49,32,1029,1025,1021,16,16,16,26,12,35,0,
2009,Nov,18,12,9,6,6,4,2,83,74,65,1032,1031,1029,16,16,16,23,12,27,0,
2009,Nov,19,15,12,8,14,9,5,100,86,71,1029,1025,1018,16,11,3,21,10,27,4.57,Rain
2009,Nov,20,16,13,9,15,9,1,97,72,46,1019,1016,1014,16,12,1,24,11,39,12.7,Rain
2009,Nov,21,14,11,8,4,3,2,66,59,51,1022,1019,1017,16,16,16,16,7,26,0,
2009,Nov,22,13,10,7,5,3,2,77,66,54,1030,1027,1022,16,16,16,27,11,35,0,
2009,Nov,23,10,8,7,7,4,2,86,76,65,1031,1028,1024,16,16,14,35,18,45,T,Rain
2009,Nov,24,14,12,9,8,7,7,86,74,62,1024,1022,1020,16,16,14,27,12,39,0,
2009,Nov,25,11,10,9,10,9,7,100,90,80,1020,1016,1014,16,8,3,21,9,26,0.76,Rain
2009,Nov,26,14,12,10,9,8,7,93,80,67,1015,1012,1004,16,13,6,21,8,27,0,
2009,Nov,27,10,8,6,7,3,-3,86,68,49,1004,999,995,16,16,16,34,15,58,0,
2009,Nov,28,10,8,6,1,-1,-2,60,51,42,1011,1004,997,16,16,16,34,19,56,0,
2009,Nov,29,15,9,4,4,0,-2,70,54,38,1014,1011,1006,16,16,16,24,8,35,0,
2009,Nov,30,14,9,4,9,4,-3,89,72,55,1008,1005,1003,16,14,8,29,11,42,6.86,Rain
2009,Dec,1,8,5,2,-1,-3,-6,64,55,45,1021,1015,1009,16,16,16,27,11,39,0,
2009,Dec,2,13,9,5,13,7,-1,93,74,54,1022,1016,1006,16,13,3,26,8,40,11.43,Rain
2009,Dec,3,19,15,11,16,10,1,100,74,48,1011,1000,993,16,12,3,26,17,56,18.54,Rain
2009,Dec,4,11,9,7,2,-1,-2,70,56,42,1022,1020,1018,16,16,16,19,9,24,0,
2009,Dec,5,7,4,1,2,0,-3,100,75,49,1021,1015,1011,16,11,3,26,12,39,16.26,"Rain , Snow"
2009,Dec,6,3,2,1,0,-5,-7,82,65,48,1029,1022,1013,16,16,16,26,12,37,0,
2009,Dec,7,4,2,0,-2,-4,-6,75,64,52,1028,1024,1021,16,16,14,21,7,29,0,
2009,Dec,8,7,4,1,-3,-4,-5,75,60,45,1027,1025,1022,16,16,14,23,12,32,T,
2009,Dec,9,12,6,1,9,5,-1,100,78,55,1024,1002,988,16,7,2,32,13,48,37.59,"Rain , Snow"
2009,Dec,10,8,3,-3,0,-7,-11,71,54,37,1009,1002,995,16,16,16,27,19,52,0,
2009,Dec,11,-2,-4,-6,-14,-16,-16,45,40,34,1026,1021,1017,16,16,16,39,20,58,0,
2009,Dec,12,3,-1,-4,-10,-12,-13,50,43,35,1034,1032,1027,16,16,16,27,12,37,0,
2009,Dec,13,11,6,1,10,3,-11,100,69,38,1032,1018,1010,16,9,3,26,10,35,24.13,Rain
2009,Dec,14,8,6,4,3,1,0,82,71,60,1020,1017,1013,16,16,16,23,9,37,0,
2009,Dec,15,11,8,6,6,3,-2,92,74,56,1016,1013,1012,16,15,10,32,11,42,0,
2009,Dec,16,6,2,-2,-3,-10,-13,57,48,38,1025,1022,1017,16,16,16,27,18,40,0,
2009,Dec,17,-1,-3,-7,-11,-13,-15,52,46,39,1026,1025,1023,16,16,16,35,19,52,0,
2009,Dec,18,-1,-5,-9,-13,-16,-18,61,45,28,1026,1023,1017,16,16,16,23,9,27,0,
2009,Dec,19,-1,-3,-6,-7,-12,-21,92,58,23,1016,1007,1002,16,7,0,34,17,50,15.49,"Fog , Snow"
2009,Dec,20,1,-2,-6,-7,-9,-14,92,62,32,1010,1006,1002,16,10,0,34,16,53,3.3,"Fog , Snow"
2009,Dec,21,2,0,-2,-7,-8,-9,69,57,44,1015,1012,1011,16,16,16,35,17,56,0,
2009,Dec,22,2,-1,-5,-8,-9,-16,63,49,34,1022,1019,1015,16,16,16,35,15,47,0,
2009,Dec,23,-1,-4,-7,-9,-12,-13,63,55,46,1023,1022,1020,16,16,16,27,16,40,0,
2009,Dec,24,4,0,-4,-3,-6,-10,69,62,54,1031,1028,1023,16,16,16,24,9,42,0,
2009,Dec,25,3,2,1,2,-1,-3,100,85,70,1031,1028,1025,16,14,4,32,15,48,6.1,Rain
2009,Dec,26,12,8,3,11,6,2,100,93,85,1025,1019,1012,16,6,1,34,20,48,37.59,Rain
2009,Dec,27,13,9,4,12,5,-4,100,68,36,1012,1010,1008,16,11,2,26,12,47,8.38,Rain
2009,Dec,28,6,3,-1,1,-6,-10,73,59,44,1009,1004,1002,16,16,16,29,14,47,0,
2009,Dec,29,-1,-4,-9,-8,-16,-19,58,47,36,1027,1016,1004,16,16,16,47,23,64,T,
2009,Dec,30,0,-3,-7,-10,-12,-15,62,55,47,1032,1029,1026,16,16,16,23,9,35,0,
2009,Dec,31,2,0,-2,0,-3,-9,96,73,49,1025,1022,1016,16,8,0,21,6,27,5.84,"Fog , Snow"
